Date,SPX,META,AMZN,AAPL,NFLX,GOOG
2019-12-09,3135.959961,201.339996,87.475502,66.730003,302.500000,67.178001
2019-12-10,3132.520020,200.869995,86.960503,67.120003,293.119995,67.233002
2019-12-11,3141.629883,202.259995,87.435997,67.692497,298.929993,67.250999
2019-12-12,3168.570068,196.750000,88.016502,67.864998,298.440002,67.513496
2019-12-13,3168.800049,194.110001,88.046997,68.787498,298.500000,67.391502
2019-12-16,3191.449951,197.919998,88.460503,69.964996,304.209991,68.058502
2019-12-17,3192.520020,198.389999,89.532997,70.102501,315.480011,67.755997
2019-12-18,3191.139893,202.500000,89.201500,69.934998,320.799988,67.630997
2019-12-19,3205.370117,206.059998,89.613998,70.004997,332.220001,67.802002
2019-12-20,3221.219971,206.300003,89.324997,69.860001,336.899994,67.479500
2019-12-23,3224.010010,206.179993,89.650002,71.000000,333.100006,67.442001
2019-12-24,3223.379883,205.119995,89.460503,71.067497,333.200012,67.178001
2019-12-26,3239.909912,207.789993,93.438499,72.477501,332.630005,68.019997
2019-12-27,3240.020020,208.100006,93.489998,72.449997,329.089996,67.594498
2019-12-30,3221.290039,204.410004,92.344498,72.879997,323.309998,66.806999
2019-12-31,3230.780029,205.250000,92.391998,73.412498,323.570007,66.850998
2020-01-02,3257.850098,209.779999,94.900497,75.087502,329.809998,68.368500
2020-01-03,3234.850098,208.669998,93.748497,74.357498,325.899994,68.032997
2020-01-06,3246.280029,212.600006,95.143997,74.949997,335.829987,69.710503
2020-01-07,3237.179932,213.059998,95.343002,74.597504,330.750000,69.667000
2020-01-08,3253.050049,215.220001,94.598503,75.797501,339.260010,70.216003
2020-01-09,3274.699951,218.300003,95.052498,77.407501,335.660004,70.991501
2020-01-10,3265.350098,218.059998,94.157997,77.582497,329.049988,71.486504
2020-01-13,3288.129883,221.910004,94.565002,79.239998,338.920013,71.961502
2020-01-14,3283.149902,219.059998,93.472000,78.169998,338.690002,71.543999
2020-01-15,3289.290039,221.149994,93.100998,77.834999,339.070007,71.959999
2020-01-16,3316.810059,221.770004,93.897003,78.809998,338.619995,72.584999
2020-01-17,3329.620117,222.139999,93.236000,79.682503,339.670013,74.019501
2020-01-21,3320.790039,221.440002,94.599998,79.142502,338.109985,74.220001
2020-01-22,3321.750000,221.320007,94.373001,79.425003,326.000000,74.297501
2020-01-23,3325.540039,219.759995,94.228996,79.807503,349.600006,74.332497
2020-01-24,3295.469971,217.940002,93.082001,79.577499,353.160004,73.335503
2020-01-27,3243.629883,214.869995,91.417000,77.237503,342.880005,71.695000
2020-01-28,3276.239990,217.789993,92.662498,79.422501,348.519989,72.627998
2020-01-29,3273.399902,223.229996,92.900002,81.084999,343.160004,72.931503
2020-01-30,3283.659912,209.529999,93.533997,80.967499,347.739990,72.792000
2020-01-31,3225.520020,201.910004,100.435997,77.377502,345.089996,71.711502
2020-02-03,3248.919922,204.190002,100.209999,77.165001,358.000000,74.296997
2020-02-04,3297.590088,209.830002,102.483498,79.712502,369.010010,72.353500
2020-02-05,3334.689941,210.110001,101.993500,80.362503,369.670013,72.411499
2020-02-06,3345.780029,210.850006,102.511497,81.302498,366.950012,73.811501
2020-02-07,3327.709961,212.330002,103.963997,80.007500,366.769989,73.961502
2020-02-10,3352.090088,213.059998,106.695503,80.387497,371.070007,75.433998
2020-02-11,3357.750000,207.190002,107.540001,79.902496,373.690002,75.439499
2020-02-12,3379.449951,210.759995,108.000000,81.800003,380.010010,75.913498
2020-02-13,3373.939941,213.139999,107.493500,81.217499,381.399994,75.733002
2020-02-14,3380.159912,214.179993,106.743500,81.237503,380.399994,76.037003
2020-02-18,3370.290039,217.800003,107.783501,79.750000,387.779999,75.983498
2020-02-19,3386.149902,217.490005,108.511002,80.904999,386.190002,76.334503
2020-02-20,3373.229980,214.580002,107.654999,80.074997,386.000000,75.907501
2020-02-21,3337.750000,210.179993,104.798500,78.262497,380.070007,74.255501
2020-02-24,3225.889893,200.720001,100.464500,74.544998,368.700012,71.079498
2020-02-25,3128.209961,196.770004,98.637001,72.019997,360.089996,69.422501
2020-02-26,3116.389893,197.199997,98.979500,73.162498,379.239990,69.658997
2020-02-27,2978.760010,189.750000,94.214996,68.379997,371.709991,65.904503
2020-02-28,2954.219971,192.470001,94.187500,68.339996,369.029999,66.966499
2020-03-02,3090.229980,196.440002,97.697502,74.702499,381.049988,69.455498
2020-03-03,3003.370117,185.889999,95.449501,72.330002,368.769989,67.069504
2020-03-04,3130.120117,191.759995,98.791496,75.684998,383.790009,69.325996
2020-03-05,3023.939941,185.169998,96.201500,73.230003,372.779999,65.952003
2020-03-06,2972.370117,181.089996,95.054497,72.257500,368.970001,64.920502
2020-03-09,2746.560059,169.500000,90.030502,66.542503,346.489990,60.778000
2020-03-10,2882.229980,178.190002,94.591003,71.334999,364.130005,64.019501
2020-03-11,2741.379883,170.240005,91.042999,68.857498,349.920013,60.770500
2020-03-12,2480.639893,154.470001,83.830498,62.057499,315.250000,55.745499
2020-03-13,2711.020020,170.279999,89.250000,69.492500,336.299988,60.986500
2020-03-16,2386.129883,146.009995,84.457497,60.552502,298.839996,54.216499
2020-03-17,2529.189941,149.419998,90.391998,63.215000,319.750000,55.990002
2020-03-18,2398.100098,146.960007,91.500000,61.667500,315.470001,54.840000
2020-03-19,2409.389893,153.130005,94.046501,61.195000,332.029999,55.764500
2020-03-20,2304.919922,149.729996,92.304497,57.310001,332.829987,53.616001
2020-03-23,2237.399902,148.100006,95.141502,56.092499,360.269989,52.831001
2020-03-24,2447.330078,160.979996,97.004997,61.720001,357.320007,56.723000
2020-03-25,2475.560059,156.210007,94.292000,61.380001,342.390015,55.124500
2020-03-26,2630.070068,163.339996,97.774498,64.610001,362.989990,58.087502
2020-03-27,2541.469971,156.789993,95.004997,61.935001,357.119995,55.535500
2020-03-30,2626.649902,165.949997,98.197502,63.702499,370.959991,57.341000
2020-03-31,2584.590088,166.800003,97.486000,63.572498,375.500000,58.140499
2020-04-01,2470.500000,159.600006,95.385002,60.227501,364.079987,55.280998
2020-04-02,2526.899902,158.190002,95.941498,61.232498,370.079987,56.042000
2020-04-03,2488.649902,154.179993,95.329498,60.352501,361.760010,54.894001
2020-04-06,2663.679932,165.550003,99.879501,65.617500,379.959991,59.346001
2020-04-07,2659.409912,168.830002,100.580002,64.857498,372.279999,59.325500
2020-04-08,2749.979980,174.279999,102.150002,66.517502,371.119995,60.514000
2020-04-09,2789.820068,175.190002,102.138000,66.997498,370.720001,60.572498
2020-04-13,2761.629883,174.789993,108.443497,68.312500,396.720001,60.877998
2020-04-14,2846.060059,178.169998,114.166000,71.762497,413.549988,63.461498
2020-04-15,2783.360107,176.970001,115.384003,71.107498,426.750000,63.123501
2020-04-16,2799.550049,176.250000,120.409500,71.672501,439.170013,63.173500
2020-04-17,2874.560059,179.240005,118.750000,70.699997,422.959991,64.162498
2020-04-20,2823.159912,178.240005,119.680496,69.232498,437.489990,63.330502
2020-04-21,2736.560059,170.800003,116.405998,67.092499,433.829987,60.817001
2020-04-22,2799.310059,182.279999,118.174500,69.025002,421.420013,63.160500
2020-04-23,2797.800049,185.130005,119.972504,68.757500,426.700012,63.815498
2020-04-24,2836.739990,190.070007,120.511002,70.742500,424.989990,63.965500
2020-04-27,2878.479980,187.500000,118.800003,70.792503,421.380005,63.793999
2020-04-28,2863.389893,182.910004,115.704002,69.644997,403.829987,61.683498
2020-04-29,2939.510010,194.190002,118.635498,71.932503,411.890015,67.073997
2020-04-30,2912.429932,204.710007,123.699997,73.449997,419.850006,67.432999
2020-05-01,2830.709961,202.270004,114.302002,72.267502,415.269989,66.030502
2020-05-04,2842.739990,205.259995,115.799500,73.290001,428.149994,66.339996
2020-05-05,2868.439941,207.070007,115.889999,74.389999,424.679993,67.555496
2020-05-06,2848.419922,208.470001,117.563004,75.157501,434.260010,67.364998
2020-05-07,2881.189941,211.259995,118.380501,75.934998,436.529999,68.627998
2020-05-08,2929.800049,212.350006,118.980499,77.532501,435.549988,69.418503
2020-05-11,2930.189941,213.179993,120.449997,78.752502,440.519989,70.163002
2020-05-12,2870.120117,210.100006,117.847504,77.852501,431.820007,68.787003
2020-05-13,2820.000000,205.100006,118.396004,76.912498,438.269989,67.466499
2020-05-14,2852.500000,206.809998,119.442497,77.385002,441.950012,67.806503
2020-05-15,2863.699951,210.880005,120.488998,76.927498,454.190002,68.659500
2020-05-18,2953.909912,213.190002,121.313004,78.739998,452.579987,69.196999
2020-05-19,2922.939941,216.880005,122.466499,78.285004,451.040009,68.674248
2020-05-20,2971.610107,229.970001,124.897003,79.807503,447.670013,70.335999
2020-05-21,2948.510010,231.389999,122.336998,79.212502,436.250000,70.139999
2020-05-22,2955.449951,234.910004,121.844002,79.722504,429.320007,70.521004
2020-05-26,2991.770020,232.199997,121.093002,79.182503,414.769989,70.850998
2020-05-27,3036.129883,229.139999,120.519501,79.527496,419.890015,70.891998
2020-05-28,3029.729980,225.460007,120.055000,79.562500,413.440002,70.836502
2020-05-29,3044.310059,225.089996,122.118500,79.485001,419.730011,71.445999
2020-06-01,3055.729980,231.910004,123.552002,80.462502,425.920013,71.591003
2020-06-02,3080.820068,232.720001,123.620499,80.834999,427.309998,71.960999
2020-06-03,3122.870117,230.160004,123.919998,81.279999,421.970001,71.819000
2020-06-04,3112.350098,226.289993,123.029999,80.580002,414.329987,70.609001
2020-06-05,3193.929932,230.770004,124.150002,82.875000,419.600006,71.919502
2020-06-08,3232.389893,231.399994,126.203003,83.364998,419.489990,72.330498
2020-06-09,3207.179932,238.669998,130.042999,85.997498,434.049988,72.807999
2020-06-10,3190.139893,236.729996,132.372498,88.209999,434.480011,73.292503
2020-06-11,3002.100098,224.429993,127.898003,83.974998,425.559998,70.192001
2020-06-12,3041.310059,228.580002,127.250999,84.699997,418.070007,70.658997
